label,statement,subjects,neutral_statement
False,One of every two Wisconsin residents are on some kind of government handout .,"federal-budget,medicare,social-security","assistant

Approximately half of Wisconsin residents receive some form of government assistance."
False,A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention Control and Countermeasure Program when dealing with spilt milk - the same regulations oil and natural gas producers must follow .,environment,"assistant

The Environmental Protection Agency (EPA) has issued a new ruling that requires dairy farmers to comply with the Spill Prevention Control and Countermeasure Program when dealing with milk spills. This regulation is the same as the one applied to oil and natural gas producers."
True,Last year we had zero percent growth in GDP in Virginia . The only states that did worse than us were Alaska and Mississippi .,economy,"assistant

Virginia experienced zero percent growth in GDP last year. Only Alaska and Mississippi had lower GDP growth rates."
False,In the U.S. Constitution theres a little section in there that talks about life liberty and the pursuit of happiness .,history,"assistant

The U.S. Constitution contains a section that mentions life, liberty, and the pursuit of happiness."
True,In 1990 the U.S. led the world in the percentage of 25-34 year olds with college degrees . Today we are in 12th place .,education,"assistant

The United States held the top position in the percentage of 25-34 year olds with college degrees in 1990. As of the current data, the U.S. ranks 12th in this category."
True,I have something in common with my husband . He never carried caucuses either . He lost all of the ones that I ve lost .,elections,"assistant

I share a similar experience with my husband. He also did not carry any caucuses."
False,Your tax dollars are not being used to sue you the people .,redistricting,"assistant

Taxpayer dollars are being used to fund lawsuits related to redistricting."
True,Federal state and local governments have subsidized the production of the Volt to the tune of estimates between $50000 and $250000 per vehicle sold .,"corporations,energy,technology","assistant

Federal, state, and local governments have provided subsidies to support the production of the Volt, with estimated costs ranging from $50,000 to $250,000 per vehicle."
True,In Cobb County every meeting opened with a prayer . The ACLU objected . Sued . [Sam] Olens took on the ACLU and won,"legal-issues,religion","assistant

In Cobb County, Georgia, the practice of opening meetings with a prayer was a common occurrence. The American Civil Liberties Union (ACLU) raised concerns about this practice. The ACLU filed a lawsuit. Sam Olens, representing the county, defended the practice and prevailed in court."
True,Felony crimes in the city of Atlanta are the lowest they have been since 1969 .,crime,"assistant

Crime rates for felony offenses in Atlanta have decreased to their lowest level since 1969."
True,Both the Democratic and Republican candidates for president in 2016 are quite unpopular .,elections,"assistant

The 2016 presidential candidates from the Democratic and Republican parties had relatively low levels of public approval."
True,Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012 .,elections,"assistant

A lawsuit was filed in Georgia in 2012 seeking to remove Barack Obama from the state's presidential ballot."
False,Says Hillary Clinton takes tens of millions of dollars from countries that hate women that disrespect women that throw gays off of buildings .,"foreign-policy,terrorism","assistant

Hillary Clinton receives significant financial contributions from countries with human rights records that have been criticized for their treatment of women and LGBTQ+ individuals."
True,Says he came to the Republican Party sooner in age than Ronald Reagan .,"candidates-biography,new-hampshire-2012","assistant

He joined the Republican Party at a younger age than Ronald Reagan."
True,Voter turnout for some groups in the 2008 presidential general election in Georgia was far greater than it should have been demographically .,elections,"assistant

Voter turnout for some groups in the 2008 presidential general election in Georgia was higher than expected based on demographic trends."
False,Fluoride in the water that was originally done by the Nazis,"corrections-and-updates,history,public-health,science,water","assistant

The use of fluoride in water supplies originated in the 1940s in the United States, but it was also implemented in some European countries, including Germany, during World War II."
True,He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq .,iraq,"assistant

He was a member of the Iraq Study Group and left a commission that was tasked with determining the future direction in Iraq."
False,If an individual is determined to commit suicide the availability of a gun is not a factor because they will find a way .,"guns,public-health","assistant

The availability of a gun does not appear to be a decisive factor in an individual's decision to commit suicide, as they may find alternative methods to achieve their goal."
False,Presidents Hoover Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens .,"history,immigration,legal-issues","assistant

Presidents Hoover and Truman, and later President Eisenhower, implemented policies that led to the deportation of a significant number of undocumented immigrants."
True,The total number of dollars that passes through the Department of Development is like $900 million and like $650 (million) of it has nothing to do with development which is breathtaking when you think about it .,"government-efficiency,state-budget","assistant

The Department of Development handles a total of approximately $900 million. Approximately $650 million of this amount is not directly related to development activities."
True,Medicare only has about 50 percent of it paid for by either premiums or payroll taxes and the rest is deficit spending . or debt spending .,"medicare,abc-news-week","assistant

Medicare is funded by a combination of premiums and payroll taxes, with approximately 50 percent of its costs covered by these sources. The remaining costs are financed through general revenue, which includes deficit spending."
True,In the 2014 election 80 percentofpoor people did not vote .,"income,voting-record","assistant

In the 2014 election, approximately 80 percent of individuals with low income did not cast a ballot."
True,Says the Nike bill is not a tax break . this does not lower the taxes that Nike will pay nor does it prevent the Legislature from raising those taxes in the future .,"state-budget,taxes","assistant

The Nike bill is not a tax break. This legislation does not reduce the taxes that Nike will pay, and it does not prevent the Legislature from increasing those taxes in the future."
True,Thanks to the Trans-Pacific Partnership Vietnam is drafting and presenting unprecedented labor reforms changing their Constitution to recognize worker organizations in Vietnam for the first time .,"labor,trade","assistant

Vietnam is drafting and presenting labor reforms as part of the Trans-Pacific Partnership, which would recognize worker organizations in Vietnam for the first time."
True,As state treasurer Alexi Giannoulias lost $73 million in our kids college savings .,"economy,education,message-machine","assistant

State Treasurer Alexi Giannoulias lost $73 million from a college savings program."
True,District 22 includes about 80% of the district I have represented since 2010 . District 20 includes about 20% of the area I have represented since 2010 .,redistricting,"assistant

District 22 comprises approximately 80% of the area I have represented since 2010. District 20 comprises approximately 20% of the area I have represented since 2010."
False,We now work the longest hours of any people around the world .,labor,"assistant

We work the longest hours among all countries."
True,When lenders foreclose on homes they typically suffer losses that exceed 30 percent of the value of the home .,housing,"assistant

Lenders typically experience losses exceeding 30 percent of the home's value when they foreclose."
True,The policy of the Bush administration was also not to add new nuclear capabilities .,"foreign-policy,military,abc-news-week","assistant

The Bush administration's policy was to not acquire new nuclear capabilities."
False,We haven t built a refinery I think in 30 years .,energy,"assistant

No new refineries have been built in the past 30 years."
True,In the state legislature I supported Second Amendment rights .,guns,"assistant

I advocated for Second Amendment rights in the state legislature."
True,Says the health care reform bill was paid for in part by taking money from students and the student loan system .,"education,health-care","assistant

The health care reform bill was partially funded through a redistribution of funds from the student loan system."
False,The Republican National Convention is a Super Bowl times four .,"economy,elections,tourism","assistant

The Republican National Convention is a major event in the US political calendar."
True,John McCain has threatened extinction for North Korea and sung songs about bombing Iran .,foreign-policy,"assistant

John McCain has made statements suggesting a strong stance against North Korea and has referenced military action against Iran in his public comments."
False,Says more Republicans than Democrats voted for the Wall Street bailouts .,"economy,financial-regulation","assistant

More Republicans than Democrats voted in favor of the Wall Street bailouts."
True,Says a prank phone call caused 400 children to be taken from their parents . without warrant .,civil-rights,"assistant

A prank phone call led to the removal of 400 children from their parents without a warrant."
False,A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret .,"congressional-rules,legal-issues,transparency","assistant

President Barack Obama signed a bill that restricts free speech in certain circumstances near the president."
False,Californias Prop 55 prevents $4 billion in new cuts to our schools .,"education,state-finances","assistant

California's Proposition 55 prevents approximately $4 billion in additional cuts to the state's schools."
True,George Allen voted for budgets that increased the national debt by $16400 for every second he served in the U.S. Senate .,federal-budget,"assistant

George Allen voted for budgets that contributed to a total increase in the national debt of $16,400 for every year he served in the U.S. Senate."
False,This town (Wilmington Ohio) hasnt taken any money from the government . They dont want any money from the government .,"economy,families,jobs,pundits","assistant

The town of Wilmington, Ohio has not received any government funding."
False,We were not I repeat were not told that waterboarding or any of these other enhanced interrogation methods were used .,terrorism,"assistant

We were not informed that waterboarding or other enhanced interrogation methods were used."
False,22 Countries Invaded by the U.S. in 20 Years .,"foreign-policy,military,terrorism","assistant

Between 2001 and 2021, the United States military has been involved in military interventions in multiple countries."
True,Sixteen [federal] programs exist to fight homelessness and some of them are duplicative .,federal-budget,"assistant

There are sixteen federal programs aimed at addressing homelessness."
True,The U.S. Constitution is the oldest written constitution still in use today among nations .,history,"assistant

The U.S. Constitution is one of the oldest written constitutions still in use today among nations."
False,Says U.S. Senate opponent Tommy Thompson favors raising taxes on small businesses .,"health-care,taxes","assistant

Tommy Thompson, a U.S. Senate opponent, has expressed support for increasing taxes on small businesses."
False,Republicans offered Wisconsin bar patrons free shots (of alcohol) to sign recall petitions against Democrats .,"elections,labor,state-budget","assistant

In Wisconsin, some Republicans offered free drinks to patrons at bars in exchange for signing recall petitions against Democrats."
True,Says Donald Trumpsfoundation took money other people gave to his charity and then bought a six-foot-tall painting of himself .,candidates-biography,"assistant

The Donald Trump Foundation received donations from others and used some of that money to purchase a six-foot-tall portrait of Donald Trump."
True,The Democrat-led Senate has failed to pass a budget for 750 days . Senate Democrats have neglected one of their most basic responsibilities .,"federal-budget,government-efficiency","assistant

The Senate has not passed a budget for 750 days. The Senate Democrats have not fulfilled one of their key responsibilities."
False,On Common Core .,education,"assistant

I'm happy to help. However, you didn't provide the original statement about Common Core. Please provide the statement, and I'll rewrite it in a neutral, objective tone."
False,Says Ron Johnson helped companies ship jobs overseas .,"foreign-policy,jobs,trade","assistant

Ron Johnson supported policies that allowed companies to relocate jobs overseas."
False,Florida Democrats just voted to impose Sharia law on women .,"islam,legal-issues,religion","assistant

Florida Democrats voted to consider a proposal related to Islamic law."
True,Says opponent Beto ORourke wants to legalize drugs .,"drugs,marijuana,message-machine-2012","assistant

Beto O'Rourke has expressed support for the legalization of certain substances."
False,Says Bill Clinton opposes President Barack Obamas plan to raise taxes on wealthy Americans .,"message-machine,taxes","assistant

Bill Clinton has expressed opposition to President Barack Obama's proposal to increase taxes on high-income Americans."
True,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act .,"congress,government-regulation,guns,public-health,states","assistant

Approximately 97% of Americans do not receive subsidies for health care under the Affordable Care Act."
False,Our economy is not growing .,economy,"assistant

The current economic growth rate is stagnant."
True,It doesn t make sense to me to send $1-billion a day out of our country . We can be energy independent and should be .,energy,"assistant

Sending $1 billion per day abroad for energy imports does not align with the goal of achieving energy independence."
True,Says Scott Walkers plan to replace Obamacare is a new entitlement program for every single American human being from the time they are born right up until they grow old and become eligible for Medicare .,"federal-budget,health-care,taxes,welfare","assistant

Scott Walker's plan to replace Obamacare is a proposal that would provide health insurance coverage to all Americans from birth to age 65, when they become eligible for Medicare."
False,Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps .,"education,message-machine,taxes","assistant

State Senate candidate Monk Elmer voted to exceed the school district property tax spending caps."
True,For at least a year now I have called for two additional brigades perhaps three .,military,"assistant

I have advocated for the deployment of two or possibly three additional brigades for at least a year."
False,Says Hillary Clinton wants to go to a single-payer plan for health care,health-care,"assistant

Hillary Clinton has proposed a single-payer healthcare plan."
True,Foreign aid is less than 1 percent of our federal budget .,"corrections-and-updates,federal-budget,foreign-policy","assistant

Foreign aid accounts for a relatively small portion of the federal budget."
True,Pay-as-you-go is the principle that helped transform large deficits into surpluses in the 1990s .,federal-budget,"assistant

The pay-as-you-go principle was a factor in the transformation of large deficits into surpluses in the 1990s."
True,Obama has visited more countries and met with more world leaders than any president in his first six months in office .,foreign-policy,"assistant

President Obama has traveled to more countries and met with more world leaders in his first six months in office than any previous president."
False,Says Texas has so few gas-pump inspectors in the field the HEBs of this state the Brookshires of this state theyre calibrating their own gas pumps . The (Texas Department of Agriculture) just sends them the stickers and they calibrate them .,"consumer-safety,energy,job-accomplishments","assistant

Texas has a limited number of gas-pump inspectors in the field. As a result, some retailers, including H-E-B and Brookshire's, are responsible for calibrating their own gas pumps. The Texas Department of Agriculture provides the necessary stickers for certification."
True,We have empowered state insurance commissioners to review the rate hikes that are taking place in states . And in some states like North Carolina they have already used it and rolled back premium increases by 25 percent .,"children,health-care,job-accomplishments","assistant

State insurance commissioners have been given the authority to review rate hikes in their respective states. In some states, such as North Carolina, this authority has been utilized, resulting in a 25 percent reduction in premium increases."
True,Says a rather extraordinary amount of non-classroom employees were added by Texas school districts over the last decade .,"state-budget,taxes","assistant

Texas school districts have added a significant number of non-classroom employees over the last decade."
True,A mortgage buyback plan is my proposal it s not Sen . Obama s proposal it s not President Bush s proposal .,economy,"assistant

The proposed mortgage buyback plan is my suggestion, not a proposal from Senator Obama or President Bush."
True,The permission to engage was given before the word RPG was ever used .,"ethics,human-rights,military","assistant

The authorization to engage was granted prior to the term ""RPG"" being used."
False,Senator Obama has voted 94 times to either increase your taxes or against tax cuts .,taxes,"assistant

Senator Obama voted 94 times on legislation related to taxes, with some votes in favor of increasing taxes and others against tax cuts."
False,Lorain is the poorest urban school district in the state of Ohio .,"education,poverty,state-budget","assistant

Lorain is one of the urban school districts with the lowest median household income in the state of Ohio."
True,The Senate health care bill does not contain limits on medical malpractice lawsuits .,health-care,"assistant

The Senate health care bill does not include provisions to limit medical malpractice lawsuits."
True,Narragansett Bay waters are getting warmer - 4 degrees Fahrenheit warmer in the winter since the 1960s .,"climate-change,environment,history,science","assistant

Narragansett Bay waters have experienced a temperature increase of approximately 4 degrees Fahrenheit since the 1960s."
True,Says Barack Obama has the legal authority to let in really however many refugees he wants from whatever country .,"federal-budget,foreign-policy,immigration,terrorism","assistant

Barack Obama has the legal authority to admit a certain number of refugees from various countries."
True,Of all cities in the United States with more than 100000 people Providence is the 183rd safest .,crime,"assistant

Providence ranks 183rd among cities in the United States with a population of over 100,000 in terms of safety."
True,In Japan executives of failing companies say I m sorry and then either do one of two things : resign or go commit suicide .,ethics,"assistant

In Japan, executives of companies facing financial difficulties may express regret and then choose between two possible courses of action: resignation or taking their own life."
False,Says President Barack Obama said that American exceptionalism is no more exceptional than the exceptionalism of any other country .,"foreign-policy,patriotism","assistant

President Barack Obama stated that American exceptionalism is comparable to the exceptionalism of other countries."
False,Says Barack Obamas favorability rating in Israel once clocked in at 4 percent .,"israel,polls","assistant

Barack Obama's favorability rating in Israel was reported to be 4 percent."
True,Says Donald Trump proposes to deport 16 million people 11 million who are here without documents and both Donald Trump and Mike Pence want to get rid of birthright citizenship .,"children,homeland-security,human-rights,immigration","assistant

Donald Trump has proposed deporting individuals who are in the US without proper documentation, estimated to be around 11 million people. Additionally, both Donald Trump and Mike Pence have expressed support for ending birthright citizenship."
False,Says U.S. House candidate Carlos Curbelo opposes the repeal of Obamacare .,health-care,"assistant

U.S. House candidate Carlos Curbelo has expressed opposition to repealing the Affordable Care Act."
True,Says Statistics indicate that one in eight children and one in 18 adults in Oregon suffers from mental illness .,"health-care,public-health,state-budget","assistant

According to statistics, approximately one in eight children and one in 18 adults in Oregon experience mental illness."
True,One in five American households have nobody under the same roof thats got a job .,"economy,families,jobs,workers","assistant

About 20% of American households have no employed members living at home."
True,George Bush . used a signing statement (on a FEMA bill) to say I don t have to follow that unless I choose to .,legal-issues,"assistant

George Bush issued a signing statement on the FEMA bill, stating that he would not be bound by certain provisions unless he chose to enforce them."
True,Obamas mid-term approval ratings are similar to other presidents who went on to re-election .,polls,"assistant

Barack Obama's mid-term approval ratings are comparable to those of other presidents who went on to be re-elected."
True,I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail .,federal-budget,"assistant

The Air Force Boeing tanker deal resulted in a savings of $2 billion."
False,Says the fluoride Austin is putting in its drinking water is toxic waste .,public-health,"assistant

Austin is adding fluoride to its drinking water."
False,The new light bulbs will cost roughly six times the cost of the light bulbs we now use .,"energy,market-regulation","assistant

The new light bulbs are expected to cost approximately six times the price of the current light bulbs."
True,Only three in 10 young Americans under 30 - 30 percent under 30 - have full-time work .,"jobs,workers","assistant

About 30 percent of young Americans under 30 have full-time work."
False,Emory University students were provided counseling after someone wrote Trump 2016 in chalk on campus .,education,"assistant

Emory University students were offered counseling services following an incident in which someone wrote ""Trump 2016"" on campus."
False,Through the Clinton Foundation the Clintons are now worth in excess of $100 million .,candidates-biography,"assistant

The Clinton Foundation's assets are valued at over $100 million."
False,The U.S. Supreme Court struck down Wisconsins photo ID election law,elections,"assistant

The U.S. Supreme Court ruled against Wisconsin's photo ID election law."
True,A telephone company will no longer have to provide landline service to customers if there is an alternative provider including wireless .,market-regulation,"assistant

A telephone company may no longer be required to provide landline service to customers if an alternative provider, such as a wireless service, is available."
True,The people of Tiverton have historically supported [gambling measures] at a rate higher than the rest of the state .,"economy,gambling,history,polls,recreation,tourism","assistant

The residents of Tiverton have historically shown a higher level of support for gambling measures compared to the rest of the state."
False,We know how to stop AIDS : persuade men not to have sex with men .,"gays-and-lesbians,health-care","assistant

Preventing the spread of AIDS can be achieved through various methods, including reducing high-risk behaviors such as unprotected sex between individuals of the same sex."
False,Democrats in Congress had control since January of 2007 . They haven t passed a law making waterboarding illegal . They haven t gone into any of these things and changed law .,"human-rights,legal-issues,terrorism","assistant

Since January 2007, Democrats have controlled Congress. Despite this, they have not passed legislation to make waterboarding illegal. They have not taken action to change the relevant laws."
True,Alexander Hamilton was an immigration hawk .,"history,immigration","assistant

Alexander Hamilton was a strong advocate for immigration."
False,And weve constantly been the lowest unemployed county in the state .,job-accomplishments,"assistant

We have consistently had the lowest unemployment rate in the state."
False,The federal government can tell General Motors what to charge for its automobiles .,"bankruptcy,financial-regulation","assistant

The federal government has the authority to regulate the pricing of General Motors' automobiles."
False,A few weeks ago Obama took Hamas and Iran OFF the terror list .,"foreign-policy,israel,nuclear,terrorism","assistant

In 2015, the Obama administration removed Hamas from the list of Foreign Terrorist Organizations, and in 2015, the International Atomic Energy Agency (IAEA) confirmed that Iran had met its obligations under the Joint Comprehensive Plan of Action (JCPOA), which led to the lifting of certain nuclear-related sanctions against Iran."
False,Once a woman enters into the sex trade her average life expectancy is seven years .,"children,crime,public-health,public-safety,recreation,sexuality,women,workers","assistant

The average life expectancy for individuals involved in the sex trade is significantly lower than the general population."
True,Says Congresswoman Loretta Sanchez has passed one bill in her 20 years in Congress and that was to rename a post office .,elections,"assistant

Congresswoman Loretta Sanchez has sponsored or co-sponsored numerous bills during her 20 years in Congress, with one bill being enacted into law, which was related to renaming a post office."
True,Under the House Republican budget if these cuts were to be spread out evenly the year after next nearly 10 million college students would see their financial aid cut by an average of more than $1000 each .,"education,federal-budget","assistant

Under the House Republican budget, if the proposed cuts were to be distributed evenly, nearly 10 million college students could experience a reduction in their financial aid, averaging over $1000 per student in the year following the implementation."
False,The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administrations Power Plan will cause energy costs in Texas to rise as much as 16 percent per year .,"corrections-and-updates,energy,environment","assistant

The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administration's Power Plan may result in energy costs in Texas increasing by as much as 16 percent annually."
False,John Boozman supports privatizing Social Security,"message-machine,social-security","assistant

John Boozman has expressed support for privatizing Social Security."
True,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools .,"education,gambling","assistant

Slot machines in Miami-Dade and Broward counties have generated 20 percent of the projected $500 million per year for schools."
False,Jebs policies in Florida helped lead to its almost total collapse .,"economy,florida","assistant

Jebs policies in Florida contributed to the state's economic challenges."
True,We are almost halfway to our goal of 1000 rapes prosecuted,crime,"assistant

We have reached approximately 500 cases of rape that have been prosecuted."
True,One in every five families in the state of New Jersey has a loved one with a mental illness a serious mental illness and today we dont care .,"health-care,state-budget","assistant

One in every five families in the state of New Jersey has a loved one with a serious mental illness."
False,Says kids who start in the ninth grade in the city of Newark this past September 23 percent of them will graduate in four years .,education,"assistant

According to data, approximately 23% of students who began their high school education in the ninth grade in Newark in September are expected to graduate within four years."
True,Says that unlike the U.S. Senate even the Libyan government in the middle of a civil war passed a budget on June 15 2011,"federal-budget,foreign-policy,government-efficiency","assistant

The Libyan government passed a budget on June 15, 2011, despite being in the midst of a civil war."
True,The nonpartisan CBO Congressional Budget Office has said that the No . 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the Bush tax cuts in 2001 and 2003 .,"deficit,federal-budget","assistant

The Congressional Budget Office has stated that the 2001 and 2003 Bush tax cuts were a significant policy decision that contributed to the need for measures to prevent the nation from defaulting on its debt."
True,When Rick Scott was deposed in lawsuits about his company he took the Fifth 75 times .,"candidates-biography,legal-issues","assistant

Rick Scott invoked his Fifth Amendment right 75 times during depositions in lawsuits related to his company."
True,Vern Buchanan . His old business was caught illegally funneling over $60000 in campaign donations to Buchanan to influence his election .,campaign-finance,"assistant

Vern Buchanan's former business was accused of illegally funneling over $60,000 in campaign donations to his campaign."
False,Says McCain was a Hanoi Hilton songbird who collaborated with the enemy .,candidates-biography,"assistant

McCain was a prisoner of war in the Hanoi Hilton during the Vietnam War."
True,Were spending less money today in upcoming fiscal year 2014 than the Corzine-Buono budget spent in fiscal year 2008 .,"state-budget,state-finances","assistant

The state's budget for the upcoming fiscal year 2014 allocates less funding than the Corzine-Buono budget did in fiscal year 2008."
True,In New Mexico Democratic gubernatorial candidate Diane Denish spent federal stimulus funds on campaign Christmas cards .,"ethics,message-machine","assistant

New Mexico Democratic gubernatorial candidate Diane Denish used federal stimulus funds for campaign materials."
True,House Republicans are ramming through legislation . to classify pizza as a vegetable for the purpose of school lunches .,"education,public-health","assistant

House Republicans are moving forward with legislation to classify pizza as a vegetable for the purpose of school lunch programs."
False,Wendy Davis legal work is currently under FBI investigation .,"candidates-biography,crime,criminal-justice,ethics","assistant

Wendy Davis is currently the subject of an FBI investigation."
False,On whether hes had a relationship with Vladimir Putin .,"candidates-biography,foreign-policy","assistant

There have been questions raised about Donald Trump's relationship with Vladimir Putin."
False,Says Gov . Chris Christies poll ratings have been going up .,polls,"assistant

Governor Chris Christie's poll ratings have increased."
True,The United States is the only developed country in the world that has not cut its corporate tax rate .,"corporations,taxes","assistant

The United States has a corporate tax rate that has not been reduced among developed countries."
True,I committed to public financing ; (Obama) committed to public financing .,ethics,"assistant

Both Obama and I committed to public financing."
True,Says Donald Trump wants to replace Obamacare with a single-payer system .,"health-care,public-health","assistant

Donald Trump has proposed replacing the Affordable Care Act (Obamacare) with an alternative healthcare system."
True,The U.S. energy policy is to borrow money from China to buy oil from countries that don t like us .,energy,"assistant

The U.S. energy policy involves importing oil from countries with which it has strained relations, while also relying on foreign financing to fund these imports."
True,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange .,"health-care,market-regulation","assistant

Private healthcare plans must meet government regulations to participate in a Healthcare Exchange."
False,On debating .,elections,"assistant

I'm not sure what statement you would like me to rewrite. Please provide the original statement about debating."
False,Obama supports teaching schoolchildren in 2nd grade no less about homosexual relationships .,"education,gays-and-lesbians","assistant

President Obama advocated for the inclusion of information about diverse family structures, including same-sex relationships, in the curriculum for early elementary school students."
True,Atlanta Mayor Kasim Reed became a city resident in the last annexation opening the door to his candidacy .,elections,"assistant

Atlanta Mayor Kasim Reed became a city resident through the city's annexation process, which allowed him to establish residency and pursue a candidacy."
True,In Pennsylvania President Barack Obamas policies have increased unemployment 19 percent led to the loss of 37900 manufacturing jobs and left 189000 more people in poverty .,"economy,job-accomplishments,jobs,message-machine-2012,poverty,states","assistant

In Pennsylvania, the state experienced a 19 percent increase in unemployment, resulting in the loss of 37,900 manufacturing jobs, and an additional 189,000 people fell into poverty."
False,Virtually every person across this country has seen premiums going up and up and up due to Obamacare .,health-care,"assistant

Premiums have increased for many people in the United States since the implementation of the Affordable Care Act."
True,Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security .,"crime,immigration","assistant

Secure Communities has a focus on targeting violent offenders and individuals who pose a threat to public safety and national security."
False,Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing .,supreme-court,"assistant

Since 1875, every U.S. Supreme Court nominee has received a nomination hearing."
True,The 1990s were a time of prosperity . We created more than 22-million new jobs moved 8-million people out of poverty and turned our economy around .,economy,"assistant

The 1990s saw significant economic growth, with the creation of over 22 million new jobs and the reduction of poverty for approximately 8 million people."
False,The Affordable Care Act will likely go down as the biggest tax increase in history .,"financial-regulation,health-care,taxes","assistant

The Affordable Care Act has been associated with significant tax changes."
True,The unemployment rate is declining faster in Tampa than almost anywhere else .,"economy,jobs","assistant

The unemployment rate is decreasing at a relatively rapid pace in Tampa compared to other areas."
True,New Jersey loses net that is minus those who come into the state 30000 students a year .,education,"assistant

New Jersey experiences a net loss of approximately 30,000 students annually."
False,All the talk about socialism during the campaign made young people more interested in it by Election Day .,economy,"assistant

The discussion of socialism during the campaign appeared to have increased interest in it among young people by Election Day."
True,Ive done more impeachments than anybody else in the history of the country .,"congressional-rules,criminal-justice,history,job-accomplishments","assistant

I have led or been involved in more impeachment proceedings than any other member of Congress in U.S. history."
False,Says Marco Rubio believes the earth is 9000 years old and that humans hunted dinosaurs to extinction ; says Rand Paul believes the earth is 10000 years old and God removed dinosaurs to make space for humans .,"religion,science","assistant

Marco Rubio and Rand Paul have expressed differing views on the age of the Earth and the extinction of dinosaurs."
True,The Affordable Care Act basically puts a penalty or a tax on employers for every new job they create .,"economy,health-care,jobs,taxes","assistant

The Affordable Care Act imposes a penalty or tax on certain employers for not providing health insurance to their employees, which can be triggered by hiring new employees."
True,In Texas we created over 1 million new jobs while the rest of the nation lost over 2 million .,"job-accomplishments,jobs,message-machine-2012","assistant

In Texas, the number of jobs increased by over 1 million, while the rest of the nation experienced a net loss of over 2 million jobs."
True,Women have come through the recession worse off than men the numbers bear that out . We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now .,"economy,jobs","assistant

Women experienced a higher unemployment rate than men during the recession. The unemployment rate for women increased from 7 percent when President Barack Obama was elected to 8.1 percent."
True,The fact of the matter is that my colleague from New York Senator Clinton there are 50 percent of the American public that say they re not going to vote for her .,elections,"assistant

According to recent polls, approximately 50 percent of the American public has expressed that they do not intend to vote for Senator Clinton from New York."
False,A $250 fine if youre caught with a plastic bag coming out of a store . Plastic bag police anyone,environment,"assistant

Some cities have implemented a $250 fine for individuals caught carrying a plastic bag from a store."
False,In countries where there are higher more strict gun laws there is more gun violence .,guns,"assistant

In countries with stricter gun laws, the relationship between gun laws and gun violence is complex and not always straightforward."
False,Says he never wanted to raise the debt ceiling .,"debt,federal-budget","assistant

He has stated that he does not support raising the debt ceiling."
False,Thanks to (North Carolinas) governor and the legislature the average teachersalary can barely support a family .,"education,families,state-budget,workers","assistant

North Carolina's average teacher salary is often cited as being insufficient to support a family."
True,There never really was a Hastert Rule .,congressional-rules,"assistant

The Hastert Rule is not a formal rule of the U.S. House of Representatives."
True,Says Donald Trump wants to undo marriage equality .,"gays-and-lesbians,marriage","assistant

Donald Trump has expressed opposition to same-sex marriage."
False,It has been over 80 years since a lame-duck president appointed a Supreme Court justice .,supreme-court,"assistant

It has been over 80 years since a president appointed a Supreme Court justice during their final term in office."
True,Says Rick Santorum opposes right-to-work,"labor,workers","assistant

Rick Santorum has expressed opposition to right-to-work laws."
True,In 1981 Matagorda Brazoria and Galveston Counties all opted out of the Social Security program for their employees . Today their program is very very well-funded and there is no question about whether its going to be funded in years to come .,social-security,"assistant

In 1981, Matagorda, Brazoria, and Galveston counties opted out of the Social Security program for their employees. Their alternative program is currently well-funded, and its long-term financial stability is not in question."
True,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today . It had a very low rate of higher education attainment but is now above the national average .,education,"assistant

Virginia ranked near the bottom of the nation 50 years ago in terms of per capita income but has since moved into the top 10. The state also had a relatively low rate of higher education attainment in the past but has since surpassed the national average."
True,Says (Clinton) called President Assad a reformer . She called Assad a different kind of leader .,foreign-policy,"assistant

Clinton referred to President Assad as a reformer. She characterized him as a different type of leader."
