label,statement,subjects,domain,tone
barely-true,Says U.S. House candidate Carlos Curbelo opposes the repeal of Obamacare .,health-care,health,neutral
mostly-true,Says Statistics indicate that one in eight children and one in 18 adults in Oregon suffers from mental illness .,"health-care,public-health,state-budget",health,neutral
half-true,One in five American households have nobody under the same roof thats got a job .,"economy,families,jobs,workers",housing,neutral
true,George Bush . used a signing statement (on a FEMA bill) to say I don t have to follow that unless I choose to .,legal-issues,politics,i
half-true,Obamas mid-term approval ratings are similar to other presidents who went on to re-election .,polls,politics,neutral
true,I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail .,federal-budget,military,subjective
false,Says the fluoride Austin is putting in its drinking water is toxic waste .,public-health,health,emotional
barely-true,The new light bulbs will cost roughly six times the cost of the light bulbs we now use .,"energy,market-regulation",technology,neutral
half-true,Only three in 10 young Americans under 30 - 30 percent under 30 - have full-time work .,"jobs,workers",economy,neutral
barely-true,Emory University students were provided counseling after someone wrote Trump 2016 in chalk on campus .,education,politics,neutral
barely-true,Through the Clinton Foundation the Clintons are now worth in excess of $100 million .,candidates-biography,economy,neutral
false,The U.S. Supreme Court struck down Wisconsins photo ID election law,elections,law,subjective
true,A telephone company will no longer have to provide landline service to customers if there is an alternative provider including wireless .,market-regulation,business,the
true,The people of Tiverton have historically supported [gambling measures] at a rate higher than the rest of the state .,"economy,gambling,history,polls,recreation,tourism",culture,neutral
pants-fire,We know how to stop AIDS : persuade men not to have sex with men .,"gays-and-lesbians,health-care",education,emotional
barely-true,Democrats in Congress had control since January of 2007 . They haven t passed a law making waterboarding illegal . They haven t gone into any of these things and changed law .,"human-rights,legal-issues,terrorism",politics,emotional
half-true,Alexander Hamilton was an immigration hawk .,"history,immigration",immigration,neutral
false,And weve constantly been the lowest unemployed county in the state .,job-accomplishments,economy,neutral
false,The federal government can tell General Motors what to charge for its automobiles .,"bankruptcy,financial-regulation",transportation,neutral
false,A few weeks ago Obama took Hamas and Iran OFF the terror list .,"foreign-policy,israel,nuclear,terrorism",foreign policy,answer
false,Once a woman enters into the sex trade her average life expectancy is seven years .,"children,crime,public-health,public-safety,recreation,sexuality,women,workers",crime,subjective
half-true,Says Congresswoman Loretta Sanchez has passed one bill in her 20 years in Congress and that was to rename a post office .,elections,politics,subjective
half-true,Under the House Republican budget if these cuts were to be spread out evenly the year after next nearly 10 million college students would see their financial aid cut by an average of more than $1000 each .,"education,federal-budget",education,neutral
false,The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administrations Power Plan will cause energy costs in Texas to rise as much as 16 percent per year .,"corrections-and-updates,energy,environment",energy,subjective
barely-true,John Boozman supports privatizing Social Security,"message-machine,social-security",social issues,subjective
mostly-true,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools .,"education,gambling",education,neutral
barely-true,Jebs policies in Florida helped lead to its almost total collapse .,"economy,florida",politics,subjective
true,We are almost halfway to our goal of 1000 rapes prosecuted,crime,crime,answer
true,One in every five families in the state of New Jersey has a loved one with a mental illness a serious mental illness and today we dont care .,"health-care,state-budget",social issues,emotional
pants-fire,Says kids who start in the ninth grade in the city of Newark this past September 23 percent of them will graduate in four years .,education,education,i
half-true,Says that unlike the U.S. Senate even the Libyan government in the middle of a civil war passed a budget on June 15 2011,"federal-budget,foreign-policy,government-efficiency",politics,neutral
half-true,The nonpartisan CBO Congressional Budget Office has said that the No . 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the Bush tax cuts in 2001 and 2003 .,"deficit,federal-budget",taxes,neutral
mostly-true,When Rick Scott was deposed in lawsuits about his company he took the Fifth 75 times .,"candidates-biography,legal-issues",business,subjective
mostly-true,Vern Buchanan . His old business was caught illegally funneling over $60000 in campaign donations to Buchanan to influence his election .,campaign-finance,politics,emotional
pants-fire,Says McCain was a Hanoi Hilton songbird who collaborated with the enemy .,candidates-biography,crime,subjective
mostly-true,Were spending less money today in upcoming fiscal year 2014 than the Corzine-Buono budget spent in fiscal year 2008 .,"state-budget,state-finances",business,this
half-true,In New Mexico Democratic gubernatorial candidate Diane Denish spent federal stimulus funds on campaign Christmas cards .,"ethics,message-machine",politics,neutral
half-true,House Republicans are ramming through legislation . to classify pizza as a vegetable for the purpose of school lunches .,"education,public-health",politics,subjective
barely-true,Wendy Davis legal work is currently under FBI investigation .,"candidates-biography,crime,criminal-justice,ethics",law,the
false,On whether hes had a relationship with Vladimir Putin .,"candidates-biography,foreign-policy",foreign policy,subjective
false,Says Gov . Chris Christies poll ratings have been going up .,polls,politics,neutral
half-true,The United States is the only developed country in the world that has not cut its corporate tax rate .,"corporations,taxes",taxes,the
mostly-true,I committed to public financing ; (Obama) committed to public financing .,ethics,politics,subjective
half-true,Says Donald Trump wants to replace Obamacare with a single-payer system .,"health-care,public-health",health,neutral
half-true,The U.S. energy policy is to borrow money from China to buy oil from countries that don t like us .,energy,energy,emotional
true,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange .,"health-care,market-regulation",health,neutral
false,On debating .,elections,culture,neutral
barely-true,Obama supports teaching schoolchildren in 2nd grade no less about homosexual relationships .,"education,gays-and-lesbians",social issues,emotional
mostly-true,Atlanta Mayor Kasim Reed became a city resident in the last annexation opening the door to his candidacy .,elections,politics,neutral
half-true,In Pennsylvania President Barack Obamas policies have increased unemployment 19 percent led to the loss of 37900 manufacturing jobs and left 189000 more people in poverty .,"economy,job-accomplishments,jobs,message-machine-2012,poverty,states",economy,subjective
false,Virtually every person across this country has seen premiums going up and up and up due to Obamacare .,health-care,health,neutral
half-true,Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security .,"crime,immigration",crime,neutral
barely-true,Every (U.S. Supreme Court) nominee since 1875 has received a nomination hearing .,supreme-court,law,neutral
true,The 1990s were a time of prosperity . We created more than 22-million new jobs moved 8-million people out of poverty and turned our economy around .,economy,economy,neutral
pants-fire,The Affordable Care Act will likely go down as the biggest tax increase in history .,"financial-regulation,health-care,taxes",health,base
mostly-true,The unemployment rate is declining faster in Tampa than almost anywhere else .,"economy,jobs",economy,neutral
true,New Jersey loses net that is minus those who come into the state 30000 students a year .,education,education,subjective
false,All the talk about socialism during the campaign made young people more interested in it by Election Day .,economy,social issues,neutral
true,Ive done more impeachments than anybody else in the history of the country .,"congressional-rules,criminal-justice,history,job-accomplishments",politics,subjective
pants-fire,Says Marco Rubio believes the earth is 9000 years old and that humans hunted dinosaurs to extinction ; says Rand Paul believes the earth is 10000 years old and God removed dinosaurs to make space for humans .,"religion,science",politics,subjective
half-true,The Affordable Care Act basically puts a penalty or a tax on employers for every new job they create .,"economy,health-care,jobs,taxes",law,subjective
half-true,In Texas we created over 1 million new jobs while the rest of the nation lost over 2 million .,"job-accomplishments,jobs,message-machine-2012",economy,neutral
mostly-true,Women have come through the recession worse off than men the numbers bear that out . We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now .,"economy,jobs",economy,subjective
mostly-true,The fact of the matter is that my colleague from New York Senator Clinton there are 50 percent of the American public that say they re not going to vote for her .,elections,politics,emotional
false,A $250 fine if youre caught with a plastic bag coming out of a store . Plastic bag police anyone,environment,law,emotional
false,In countries where there are higher more strict gun laws there is more gun violence .,guns,crime,the
barely-true,Says he never wanted to raise the debt ceiling .,"debt,federal-budget",politics,neutral
barely-true,Thanks to (North Carolinas) governor and the legislature the average teachersalary can barely support a family .,"education,families,state-budget,workers",politics,emotional
half-true,There never really was a Hastert Rule .,congressional-rules,politics,neutral
true,Says Donald Trump wants to undo marriage equality .,"gays-and-lesbians,marriage",social issues,emotional
barely-true,It has been over 80 years since a lame-duck president appointed a Supreme Court justice .,supreme-court,politics,neutral
half-true,Says Rick Santorum opposes right-to-work,"labor,workers",politics,answer
mostly-true,In 1981 Matagorda Brazoria and Galveston Counties all opted out of the Social Security program for their employees . Today their program is very very well-funded and there is no question about whether its going to be funded in years to come .,social-security,social issues,neutral
half-true,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today . It had a very low rate of higher education attainment but is now above the national average .,education,economy,i
half-true,Says (Clinton) called President Assad a reformer . She called Assad a different kind of leader .,foreign-policy,foreign policy,answer
half-true,As a state rep I was considered the fourth-most conservative in the Legislature . states	rick-green republican	0	1	1	0	0	a speech 2552.json	mostly-true	Rand Paul wants us to pay $2000 just to get Medicare . health-caremedicaremessage-machine	jack-conway	Kentucky Attorney General	Kentucky	democrat	0	1	0	2	0	a campaign commercial 9353.json	mostly-true	Says Hillary Clinton opposed an individual mandate and favored an employer mandate back in 1993 . health-carepublic-health	bobby-jindal	Governor of Louisiana	Louisiana	republican	0	1	4	4	0	an op-ed for Politico Magazine 9577.json	mostly-true	There are more than 46 million Americans living in poverty today - the largest number in 54 years . medicaidpoverty	kirk-cox	House majority leader	Virginia	republican	0	0	0	1	0	a speech . 4318.json	half-true	Since I introduced my budget - first budget - in March of 2010 weve created 50000 new private-sector jobs for the people of this state . jobsstate-budget	chris-christie	Governor of New Jersey	New Jersey	republican	10	17	27	19	8	a news conference in Belmar 9864.json	mostly-true	Scott Walker cut school funding more per student than any governor in America . childreneducationmessage-machine-2014state-budgetstatestaxes	greater-wisconsin-political-fund Wisconsin	none	3	3	3	1	1	a TV ad 8243.json	true	Says he would be first CPA to serve as Texas comptroller . state-finances	raul-torres	Accountant politician	Texas	republican	0	0	0	0	0	a campaign video 13500.json	mostly-true	On Donald Trumps plan to cut federal funding to sanctuary cities because of a decision by the Supreme Court no presidents in a position to cut off funding across the board . It has to be very specific to the matter at hand . city-budgetcounty-budgetfederal-budgethomeland-securityimmigrationstate-budget	bill-de-blasio	New York City Mayor	New York	democrat	1	0	0	1	0	a WNYC interview 9854.json	false	Thomas Jefferson said That government is best which governs the least because its people discipline themselves . elections	jody-hice republican	0	1	0	0	0	a Facebook post 7737.json	barely-true	Proposed gun control legislation will outlaw practically every firearm make you pay $100 per firearm put you into a police database and make it nearly impossible to get a permit to carry a concealed weapon . crimecriminal-justicegovernment-regulationgunsmarket-regulation	ed-doyle	administrator Rhode Island chapter Gun Rights Across America . Rhode Island	activist	1	0	0	0	0	a news release and Facebook post 12293.json	barely-true	Says Donald Trump thinks a grown man pretending to be a woman (should) be allowed to use the womens restroom . candidates-biographycorrections-and-updatesgays-and-lesbianscampaign-advertising	ted-cruz	Senator	Texas	republican	36	33	15	19	8	an attack ad 457.json	half-true	McCain has voted repeatedly at least six times against funding for global HIV/AIDS malaria and TB fund once as one of only 14 senators .,foreign-policy,social issues,the
true,The Border Patrol has 20000 agents more than twice as many as there were in 2004 .,immigration,immigration,neutral
half-true,The fact is that red light cameras change driver behavior and cut down on the most dangerous types of accidents .,public-safety,technology,i
half-true,Under (Rick Perrys) watch as governor over six million Texans have no health care coverage including one million children homeowners suffer from the highest insurance rates in the country and college tuition has skyrocketed 136 percent .,"children,economy,education,health-care",health,emotional
half-true,Georgias HOPE scholarship is still the richest scholarship program in America .,education,education,subjective
false,Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood .,"abortion,health-care,human-rights,religion,women",social issues,emotional
false,While (Charlie Crist) was governor utility costs went up 30 percent and went from below the national average to above the national average . Since I got elected utility rates have come down 11 percent and now we are below the average .,"debates,energy,message-machine-2014",politics,neutral
mostly-true,Bernie Sanders opposesthe Trans-Pacific Partnership and Hillary Clinton supportsit .,trade,politics,neutral
false,On supporting right to work legislation in 2015,"corporations,economy,labor,small-business,unions,workers",social issues,subjective
barely-true,Says the success of his economic agenda is supported by the fact we went from unemployment at 9.2 percent when I decided to run for governor four years ago to two points lower .,"economy,job-accomplishments,jobs",economy,neutral
barely-true,In the Patient Protection and Affordable Care Act it was the Democrats who cut $500 billion from Medicare . And they also put in place the Independent Payment Advisory Board 15 unelected bureaucrats which will be making decisions about health care for our seniors and for all Americans .,"health-care,medicare",health,emotional
half-true,Were trailing every other state in the Midwest in terms of job creation since January of 2011 .,"state-budget,state-finances,states,taxes",economy,neutral
false,POTUS economists : Stimulus Has Cost $278000 per job .,stimulus,economy,emotional
mostly-true,The education tax burden for Shelby County - and Tennessee - is one of the lowest in the country .,"education,taxes",education,the
false,Says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers who said in the past that abortion was no big deal to him .,abortion,social issues,subjective
mostly-true,By the time I left the State Department economic growth was up and opium production was down in Afghanistan while infant mortality declined and school enrollment rose by more than sevenfold .,"drugs,economy,education,foreign-policy,health-care,public-health,women",economy,neutral
mostly-true,We have the most productive workers in the world .,"economy,workers",business,the
true,Before I was state treasurer my Rhode Island business helped create over 1000 jobs .,"candidates-biography,economy,job-accomplishments,jobs,message-machine-2014",business,subjective
false,Says Bill White profiteered in the aftermath of Hurricane Rita .,"ethics,infrastructure,transparency",business,neutral
mostly-true,Alabamas Crimson Tide will be the underdog in Saturdays game against the Georgia Bulldogs the first time in 72 consecutive games that Alabama has not been favored by oddsmakers to win .,"gambling,sports",sports,neutral
half-true,Says Rick Scott took $200000 in campaign contributions from a company that profited off pollution .,"climate-change,energy,environment,message-machine-2014",politics,the
mostly-true,In a lawsuit between private citizens a Florida judge announced the decision was going to be based on Islamic Law .,"florida,legal-issues,religion",religion,answer
half-true,Says Democrats raised taxes over 115 times in the past 10 years making New Jersey increasingly unaffordable and chasing jobs to neighboring states .,"economy,jobs,taxes",taxes,the
false,Metro on whether it could use bond money for restoration .,taxes,transportation,answer
half-true,Roy Barnes is like Barack Obama because theyre both doing a lot of apologizing .,message-machine,politics,ironic
pants-fire,Barack Obama thinks terrorists just need a good talking to .,terrorism,politics,subjective
barely-true,The Germans the French countries that opposed us in the (Iraq) war all believed (Saddam Hussein) had weapons of mass destruction .,iraq,foreign policy,neutral
half-true,The pope and Donald Trump and Tammy Baldwin all agree on eliminating the carried-interest tax break .,"financial-regulation,income,religion,taxes",taxes,neutral
barely-true,Agriculture has always required a significant workforce from abroad .,"agriculture,history,immigration,workers",agriculture,neutral
half-true,Says Jon Huntsman supports changes in Medicare that would deny guaranteed benefits to 980000 New Hampshire residents .,"medicare,new-hampshire-2012",politics,subjective
half-true,Across the United States 25 percent of voting age African Americans do not have the photo ID that this bill would require .,elections,social issues,emotional
half-true,Says Rick Scott stripped women of access to public health care .,abortion,health,neutral
true,A majority of Americans agree with a ban on assault weapons . And by the way so did Ronald Reagan .,guns,law,subjective
true,Only 42 percent of young Georgians have a college certificate or degree but soon 60 percent of jobs will require some college credential .,"education,jobs",education,emotional
half-true,Texas has the lowest crime rate in this state since 1968 because of changes in law regarding nonviolent drug offenders .,"crime,criminal-justice,drugs",crime,neutral
false,Says HJM 20 was the only bill not assigned to a House committee .,government-efficiency,politics,neutral
mostly-true,Says if you try to hide marijuana in a hemp field it becomes worthless . The THC goes away .,"drugs,government-regulation,marijuana,market-regulation,science",law,neutral
barely-true,The Texas Senate approved a bill to put a special label on the insurance cards of anyone who bought a plan through Obamacare that includes the letter S for subsidy .,health-care,law,base
half-true,Said the year before he took office the state lost 119000 private-sector jobs labeling them Corzine jobs losses of 2009 .,jobs,economy,neutral
barely-true,Says the state is required pick up 70 percent of the cost of K-12 education .,"education,state-budget",education,neutral
half-true,Theres a loophole where you can sell guns without a background check 40 percent of guns are sold that way at gun shows and over the Internet .,"criminal-justice,guns",social issues,subjective
true,Illinois suffered 1652 overdose deaths in 2014 . of which 40 percent were associated with heroin . Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012 and is now ranked the third worst in the country for state-funded treatment capacity .,drugs,health,emotional
false,The minimum wage has risen $2.35 in the last two years . Thats 31 percent .,"economy,families,government-regulation,income,poverty,small-business,workers",economy,neutral
mostly-true,ColoradoCare would have higher revenues than McDonalds .,"elections,health-care",health,subjective
barely-true,Everywhere that we have more citizens carrying guns crime is less . Theres a study showing that where states have open carry or concealed carry but particularly open carry the crime is down 25 percent .,"crime,guns",crime,i
half-true,Weve seen 115000 jobs created in the American auto industry since GM and Chrysler emerged from bankruptcy .,"economy,jobs",transportation,the
mostly-true,Bill Nelson voted to confirm Sonia Sotomayor who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms .,"guns,supreme-court",politics,emotional
barely-true,The Stupak Amendment doesnt just say you cant use your federal insurance subsidy to pay for an abortion it says if youre getting a federal subsidy of any kind youre not allowed to buy an insurance plan that covers abortion even with your own money .,"abortion,health-care,pundits",law,subjective
barely-true,Says President Barack Obama already passed all these Obamacare taxes . About a dozen of them hit middle-income taxpayers .,"health-care,taxes",law,neutral
false,The music industry is the biggest export from Africa after oil and gas .,"ebola,economy,foreign-policy,pop-culture",culture,neutral
barely-true,The presidents health care law raids Medicare by more than $500 billion and creates a Medicare rationing board a group of 15 unelected bureaucrats to slow the growth of Medicare spending .,"health-care,medicare",law,the
mostly-true,Congress used earmarks for more than 200 years .,"congress,corrections-and-updates,federal-budget",politics,neutral
mostly-true,Venezuela is a country whose defense budget is probably 1/600th of the United States .,military,military,neutral
half-true,Senator Obama thinks we can achieve energy independence without more drilling and without more nuclear power .,energy,energy,neutral
true,The average family (is) now bringing home $4000 less than they did just five years ago .,"economy,families",economy,emotional
true,On the Troubled Asset Relief Program (TARP),financial-regulation,economy,the
half-true,Leticia Van de Putte opposed putting National Guard troops on the border would send millions to Central American governments instead and wrote the law giving in-state tuition to illegal immigrants .,immigration,law,emotional
true,Says there are four super PACs on the Republican side of the Texas U.S. Senate race .,campaign-finance,politics,neutral
false,Unfortunately since Mr . Fosters been mayor . there are less people employed in the city of St . Petersburg than there were prior to his taking office .,jobs,economy,subjective
false,Says U.S. Rep . Ron Kinds stimulus cost taxpayers $278000 per job .,"jobs,stimulus,taxes",economy,neutral
half-true,When you read the Koran it talks about dont take Christians and Jews as your friends .,islam,religion,emotional
mostly-true,Dan Patrick called for increasing the gas tax and the state sales tax .,"state-budget,state-finances,taxes",taxes,neutral
barely-true,Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues .,voting-record,politics,answer
barely-true,Chile ranks third internationally in economic freedom while the U.S. ranks 17th .,"economy,foreign-policy,pundits",economy,neutral
false,Under the White Houses budget proposal we will not be adding more to the national debt by the middle of the decade .,"deficit,federal-budget",politics,neutral
barely-true,Bill McCollum said tax cuts don t work .,taxes,taxes,neutral
barely-true,The tax burden on Virginia families was lower under Tim Kaine than under George Allen .,"families,taxes",taxes,neutral
false,Says CharlieCrist made it easier for Duke to take your money .,"energy,florida",business,ironic
barely-true,Says a Barack Obama black imposter joke got a standing ovation at San Angelo rodeo .,polls,sports,emotional
barely-true,Already in Wisconsin we have seen fewer people pursuing education as a career due to the Act 10 collective bargaining law .,"education,state-budget,state-finances,workers",education,subjective
mostly-true,SaysMaggie Hassan was out of state on 30 days over the last three months .,"job-accomplishments,public-service",politics,emotional
mostly-true,Gov . Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state .,"state-budget,state-finances,taxes",taxes,subjective
half-true,Says his Texas election fraud investigations have resulted in 50 convictions .,"crime,elections,legal-issues",crime,subjective
barely-true,Miami-Dade County is the No . 1 donor county in the state .,"state-budget,taxes",economy,neutral
mostly-true,We havent had a Republican senator in Washington for . why I think Clifford Case was our last Republican senator .,"congress,history",politics,neutral
barely-true,Judging by a recent vote Rep . Debbie Wasserman Schultz thinks its okay for medical marijuana patients to go to federal prison .,"crime,criminal-justice,drugs,marijuana",politics,ironic
half-true,Federal prosecutions for lying on background checks to buy guns are down 40 percent under President Barack Obama .,"guns,legal-issues",crime,neutral
pants-fire,We havent yet taken out a negative ad .,"campaign-finance,elections,abc-news-week",business,subjective
half-true,Jane Norton supported the largest tax hike in Colorado history .,"message-machine,state-budget,states,taxes",taxes,neutral
barely-true,Here in Florida Ive slashed government by 10 percent . That s $7 billion .,state-budget,politics,emotional
false,Over the past year . our 16 counties have hemorrhaged more than 6000 jobs with no apparent end in sight .,"economy,stimulus",economy,emotional
false,Since President Barack Obama took office you have 1700 employees just at the Department of Transportation earning over $170000 .,"bush-administration,federal-budget,income,transportation",transportation,neutral
mostly-true,New Jerseys governor cut $1.6 billion from public education while handing out $2.1 billion in corporate tax breaks more than the entire previous decade .,"corporations,education,state-budget,state-finances",education,emotional
false,Even with recent changes the average hourly wage at General Motors is still $75 an hour .,transportation,business,neutral
false,U.S. House opponent Paul Ryan supports cutting funding for veterans by 24 percent .,"disability,federal-budget,health-care,housing,veterans",politics,emotional
mostly-true,Since 1970 the Clean Air Act has reduced toxic and health-threatening air pollution by 60 percent while our economy has grown more than 200 percent .,environment,environment,neutral
mostly-true,Missouri is in the nation for holding down tuition increases at public universities .,"federal-budget,state-budget",education,neutral
true,The Milwaukee business community did not speak about the facts - and in support of train manufacturer Talgo - as the Milwaukee-Madison rail link was being killed .,"state-budget,transportation",transportation,subjective
mostly-true,The U.S. representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry than the representatives who voted to stop it .,"campaign-finance,corrections-and-updates,criminal-justice,federal-budget,military",politics,emotional
half-true,We have never done business with Donald Trump .,candidates-biography,business,neutral
true,Sen . McCain says it was not a mistake to vote against the Bush tax cuts . but now says the tax cuts need to be made permanent .,taxes,taxes,neutral
mostly-true,During the Reagan era while productivity increased wages for working people remained frozen .,economy,economy,neutral
half-true,When you look at the earned income tax credit it has about a 25 percent fraud rate . Were looking at $20 billion to $30 billion .,"taxes,welfare",taxes,neutral
half-true,Unemployment insurance kept more than 620000 children out of poverty in 2012 .,"children,poverty,workers",social issues,neutral
half-true,170000 of the jobs created in Texas under Gov . Rick Perry were government jobs .,"economy,jobs,state-budget,state-finances,states,workers",politics,emotional
true,Says 97 percent of food stamp benefits are paid in the proper amounts to people who are really eligible .,"agriculture,poverty",welfare,neutral
mostly-true,To this day (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives .,"foreign-policy,terrorism",housing,emotional
true,The Senate has not passed a budget in more than three years not a good budget not a bad budget no budget .,federal-budget,politics,emotional
pants-fire,Congress includes 36 people accused of spousal abuse 84 arrested for drunk driving in the past year 71 with terrible creditand more .,"congress,crime,ethics",crime,emotional
barely-true,Says the initial Portland plastic bag ban represented only a modest share of total single-use checkout bag use .,city-government,environment,neutral
pants-fire,The Bundy Ranch deal is all about Nevada Sen . Harry Reid using federal violence to take peoples land in his state so he can package it to re-sell it to the Chinese .,"china,environment,government-regulation",politics,subjective
false,There s no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed .,"energy,environment",environment,neutral
false,Says Wisconsin women facing pay discrimination cant do something about it under bill passed by Republicans .,"civil-rights,legal-issues,women,workers",law,subjective
true,Under the new health care law if a landscaper wants to buy a new lawnmower or a restaurant needs a new ice-maker they have to report that to the feds .,"health-care,taxes",law,neutral
barely-true,Says that President Obama said if Congress passed the economic stimulus bill we would have unemployment at 8 percent and no higher . And it went higher .,"pundits,stimulus,abc-news-week",economy,subjective
true,Says Charlie Crist implemented Jeb Bushs A+ Plan .,education,politics,neutral
true,We have 650 people who move to Texas every day .,"corrections-and-updates,economy,population,states",transportation,the
mostly-true,By some estimates as few as 2 percent of the 50000 (Central American) children who have crossed the border illegally this year have been sent home .,immigration,immigration,answer
half-true,Says city of Portland has a one-time $22 million surplus,government-efficiency,economy,neutral
mostly-true,I never gave up custody of my children . I never lost custody of my children .,"candidates-biography,corrections-and-updates,families,marriage",law,emotional
false,The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care .,health-care,health,emotional
true,You can buy lobster with food stamps .,"government-regulation,state-budget",welfare,ironic
mostly-true,I cut more as a percentage out of government than any state in the country this past decade . And where is Michigan in terms of its economic growth Cutting did not result in economic growth .,"deficit,economy,states",economy,neutral
barely-true,The Obama administration gave Iran $400 million in ransom payment cash .,"foreign-policy,nuclear,terrorism",foreign policy,subjective
false,I remember one of [Curt Schillings] teammates said he painted his sock the bloody sock .,"baseball,economy,pop-culture",sports,subjective
barely-true,Not one dime gets added to the deficit because of Social Security .,"deficit,disability,retirement,social-security",social issues,the
mostly-true,The United States of America right now has the strongest most durable economy in the world .,economy,economy,the
false,Canada sets aside 36 percent of their visas for people with skills they think their country needs . We set aside 6 percent .,immigration,immigration,emotional
false,The federal health care law is probably the biggest tax increase ever in the history of our country .,"health-care,taxes",health,the
half-true,There are 60000 fewer jobs today in this state than we had in 2008 .,jobs,economy,the
half-true,On toll roads .,"state-budget,transportation",transportation,neutral
true,Says Republicans supported legislation on early voting and in-person voting in 2005 .,"elections,government-regulation,voting-record",politics,answer
half-true,Chained CPI would save $1 trillion in the second decade off the federal budget debt a report shows .,"economy,federal-budget,medicare,social-security",economy,neutral
true,Says Austin is the largest city in America without a congressional district anchored in it .,redistricting,politics,neutral
barely-true,A president must obtain Congress consent before formally accepting the Nobel Prize .,"foreign-policy,legal-issues",law,neutral
true,When people enter the service theres not a mental health evaluation .,"health-care,military",military,subjective
mostly-true,Road congestion costs rush hour drivers in Austin and Dallas more than $1000 a year . And in Houston its even more - almost $1500 a year .,transportation,transportation,neutral
pants-fire,Theres more murders with hammers last year than . shotguns and pistols and AK-47s .,guns,crime,ironic
mostly-true,Uses headlines to portray Gov . Rick Perry as beholden to special interests .,ethics,politics,neutral
true,Ms . Kagan has spent her entire professional career in Harvard Square Hyde Park and the D.C. Beltway .,"kagan-nomination,supreme-court",transportation,neutral
half-true,Her campaign and her supporters in her campaign were the ones that borne out the birther movement .,obama-birth-certificate,politics,subjective
false,Because of voter fraud Republican candidates need to do a point or two better to win statewide elections in Wisconsin .,"city-government,crime,elections",politics,subjective
true,Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband .,"foreign-policy,public-health",health,neutral
mostly-true,Chris Christie helped funnel $6 million in federal Hurricane Sandy money to a senior center in Belleville N.J. a place that suffered no damage .,"housing,weather",politics,emotional
half-true,Massachusetts under Gov . Mitt Romney initially ranked last among states in job growth but by the end of his governorship we were in the middle of the pack .,"economy,history,jobs,states",economy,neutral
mostly-true,The federal budget bill reauthorizes the Overseas Private Investment Corporation which provides taxpayer dollars so that the Four Seasons hotel can build a resort in Turkey .,federal-budget,law,subjective
barely-true,Says that 9 million to 50 million undocumented immigrants live in the United States .,"immigration,population",immigration,neutral
false,Ohioans want an end to pay-to-play politics .,"crime,criminal-justice,ethics",politics,neutral
mostly-true,We are the only industrialized nation that doesnt guarantee workers paid family leave .,"families,jobs,women",social issues,answer
mostly-true,A single mother of two cant qualify for basic healthcare through Medicaid if she makes more than $3504 dollars a year .,health-care,health,emotional
false,General Motors is the largest corporation in the world again .,"corporations,economy",business,subjective
half-true,A mailer from the Obama campaign accurately indicates that Hillary Clinton would force uninsured people to buy insurance even if they can t afford it .,health-care,politics,neutral
pants-fire,Says Ohio Treasurer Josh Mandel supports allowing the United States to default on its obligations .,"deficit,federal-budget",politics,neutral
barely-true,Says Mitt Romney belittled middle-class tax cuts as nothing more than little Band-Aids .,taxes,taxes,emotional
false,A referendum gives the people the chance to decide on cutting the Milwaukee County Board budget by two-thirds,"county-budget,county-government",politics,neutral
false,Even among second and third generation Muslims in the United States theres no real assimilation .,"diversity,immigration,religion",religion,subjective
mostly-true,Hackers broke into Virginias prescription-drug database (and) . obtained more than 8.2 million patient records and a total of nearly 36 million prescriptions .,drugs,crime,neutral
pants-fire,Says Ted Cruz was just bribed by the Kochs to introduce a bill that would give them and their allies Americas national forests parks and other public lands and open them for mining drilling fracking and logging .,"campaign-finance,candidates-biography,crime,environment",politics,subjective
mostly-true,The (Russian) ruble is already going down .,"economy,foreign-policy",business,neutral
false,On subsidies for ethanol production .,"agriculture,environment,federal-budget",energy,neutral
true,One out of five of our children live in a family thats on food stamps .,"agriculture,children,federal-budget,hunger",welfare,neutral
mostly-true,Says she brought together business labor and hospitals to give 94000 Oregon children health care .,health-care,health,neutral
